========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 1 bound to :50001. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 19 | NetHead: 18 | Confirmed: 16 | Missing: 3 | StateHash: 0x19F91CF1
[HEARTBEAT] SimTick: 60 | NetHead: 59 | Confirmed: 57 | Missing: 3 | StateHash: 0xAA2A82B1
[HEARTBEAT] SimTick: 99 | NetHead: 98 | Confirmed: 94 | Missing: 5 | StateHash: 0xB2D13734
[HEARTBEAT] SimTick: 137 | NetHead: 137 | Confirmed: 132 | Missing: 5 | StateHash: 0xF31EC1D1
[HEARTBEAT] SimTick: 172 | NetHead: 172 | Confirmed: 167 | Missing: 5 | StateHash: 0xE35FCE91
[HEARTBEAT] SimTick: 210 | NetHead: 209 | Confirmed: 205 | Missing: 5 | StateHash: 0x147DB574
[HEARTBEAT] SimTick: 244 | NetHead: 243 | Confirmed: 239 | Missing: 5 | StateHash: 0x147DB574
[HEARTBEAT] SimTick: 278 | NetHead: 277 | Confirmed: 274 | Missing: 4 | StateHash: 0x8B8E7E24
[HEARTBEAT] SimTick: 316 | NetHead: 315 | Confirmed: 311 | Missing: 5 | StateHash: 0x5C60F51C
[HEARTBEAT] SimTick: 351 | NetHead: 350 | Confirmed: 349 | Missing: 2 | StateHash: 0x5C60F51C
[HEARTBEAT] SimTick: 393 | NetHead: 392 | Confirmed: 389 | Missing: 4 | StateHash: 0xC1E38154
[HEARTBEAT] SimTick: 428 | NetHead: 427 | Confirmed: 426 | Missing: 2 | StateHash: 0x2FB6D60E
[HEARTBEAT] SimTick: 471 | NetHead: 471 | Confirmed: 466 | Missing: 5 | StateHash: 0x3E95A8EC
[HEARTBEAT] SimTick: 510 | NetHead: 510 | Confirmed: 506 | Missing: 4 | StateHash: 0x597728D2
[HEARTBEAT] SimTick: 552 | NetHead: 551 | Confirmed: 548 | Missing: 4 | StateHash: 0xBA9C977C
[HEARTBEAT] SimTick: 587 | NetHead: 586 | Confirmed: 584 | Missing: 3 | StateHash: 0xBA9C977C
[HEARTBEAT] SimTick: 622 | NetHead: 622 | Confirmed: 617 | Missing: 5 | StateHash: 0xD9EF0542
[HEARTBEAT] SimTick: 663 | NetHead: 662 | Confirmed: 658 | Missing: 5 | StateHash: 0xAEC07791
[HEARTBEAT] SimTick: 696 | NetHead: 696 | Confirmed: 691 | Missing: 5 | StateHash: 0xF3A28384
[HEARTBEAT] SimTick: 730 | NetHead: 729 | Confirmed: 726 | Missing: 4 | StateHash: 0x7D32FF4D
[HEARTBEAT] SimTick: 768 | NetHead: 767 | Confirmed: 763 | Missing: 5 | StateHash: 0x050EDE09
[HEARTBEAT] SimTick: 803 | NetHead: 802 | Confirmed: 798 | Missing: 5 | StateHash: 0x5F616E34
[HEARTBEAT] SimTick: 841 | NetHead: 840 | Confirmed: 836 | Missing: 5 | StateHash: 0x5F616E34
[HEARTBEAT] SimTick: 874 | NetHead: 873 | Confirmed: 871 | Missing: 3 | StateHash: 0x3C6A8D74
[HEARTBEAT] SimTick: 914 | NetHead: 913 | Confirmed: 911 | Missing: 3 | StateHash: 0xA7143604
[HEARTBEAT] SimTick: 955 | NetHead: 954 | Confirmed: 952 | Missing: 3 | StateHash: 0xA7143604
[HEARTBEAT] SimTick: 994 | NetHead: 993 | Confirmed: 990 | Missing: 4 | StateHash: 0x4DE0285C
[HEARTBEAT] SimTick: 1037 | NetHead: 1037 | Confirmed: 1032 | Missing: 5 | StateHash: 0x9C3AD34C
[HEARTBEAT] SimTick: 1077 | NetHead: 1076 | Confirmed: 1073 | Missing: 4 | StateHash: 0x9C3AD34C
[HEARTBEAT] SimTick: 1120 | NetHead: 1119 | Confirmed: 1115 | Missing: 5 | StateHash: 0x487D5804
[HEARTBEAT] SimTick: 1158 | NetHead: 1157 | Confirmed: 1155 | Missing: 3 | StateHash: 0xEC8C50DC
[HEARTBEAT] SimTick: 1195 | NetHead: 1194 | Confirmed: 1192 | Missing: 3 | StateHash: 0xEC8C50DC
[HEARTBEAT] SimTick: 1237 | NetHead: 1236 | Confirmed: 1234 | Missing: 3 | StateHash: 0xE9245BEC
[HEARTBEAT] SimTick: 1279 | NetHead: 1279 | Confirmed: 1274 | Missing: 5 | StateHash: 0xB8E1C05C
[HEARTBEAT] SimTick: 1318 | NetHead: 1317 | Confirmed: 1316 | Missing: 2 | StateHash: 0xB8E1C05C
[HEARTBEAT] SimTick: 1357 | NetHead: 1356 | Confirmed: 1353 | Missing: 4 | StateHash: 0x3FC2DDAC
[HEARTBEAT] SimTick: 1386 | NetHead: 1385 | Confirmed: 1383 | Missing: 3 | StateHash: 0x0C546466
[HEARTBEAT] SimTick: 1427 | NetHead: 1426 | Confirmed: 1423 | Missing: 4 | StateHash: 0x19C558B4
[HEARTBEAT] SimTick: 1468 | NetHead: 1467 | Confirmed: 1464 | Missing: 4 | StateHash: 0xE5E05172
[HEARTBEAT] SimTick: 1499 | NetHead: 1498 | Confirmed: 1497 | Missing: 2 | StateHash: 0x12E7D749
[HEARTBEAT] SimTick: 1540 | NetHead: 1539 | Confirmed: 1535 | Missing: 5 | StateHash: 0xA1FEDCC4
[HEARTBEAT] SimTick: 1577 | NetHead: 1576 | Confirmed: 1574 | Missing: 3 | StateHash: 0xB15DDF99
[HEARTBEAT] SimTick: 1617 | NetHead: 1617 | Confirmed: 1612 | Missing: 5 | StateHash: 0x24529801
[HEARTBEAT] SimTick: 1658 | NetHead: 1657 | Confirmed: 1655 | Missing: 3 | StateHash: 0x1F344D74
[HEARTBEAT] SimTick: 1699 | NetHead: 1698 | Confirmed: 1694 | Missing: 5 | StateHash: 0x7CAF9431
[HEARTBEAT] SimTick: 1743 | NetHead: 1743 | Confirmed: 1738 | Missing: 5 | StateHash: 0xAC0BB88E
[HEARTBEAT] SimTick: 1785 | NetHead: 1785 | Confirmed: 1781 | Missing: 4 | StateHash: 0x616674F4
[HEARTBEAT] SimTick: 1821 | NetHead: 1821 | Confirmed: 1817 | Missing: 4 | StateHash: 0xB57FED51
[HEARTBEAT] SimTick: 1862 | NetHead: 1861 | Confirmed: 1860 | Missing: 2 | StateHash: 0x73B38DBE
[HEARTBEAT] SimTick: 1903 | NetHead: 1903 | Confirmed: 1899 | Missing: 4 | StateHash: 0x14AF141C
[HEARTBEAT] SimTick: 1940 | NetHead: 1939 | Confirmed: 1938 | Missing: 2 | StateHash: 0x3AC2C2F9
[HEARTBEAT] SimTick: 1979 | NetHead: 1979 | Confirmed: 1974 | Missing: 5 | StateHash: 0xCA7414D1
[HEARTBEAT] SimTick: 2018 | NetHead: 2017 | Confirmed: 2015 | Missing: 3 | StateHash: 0x5DF50244
[HEARTBEAT] SimTick: 2052 | NetHead: 2052 | Confirmed: 2047 | Missing: 5 | StateHash: 0x1AD32571
[HEARTBEAT] SimTick: 2090 | NetHead: 2090 | Confirmed: 2089 | Missing: 1 | StateHash: 0x485C8D91
[HEARTBEAT] SimTick: 2132 | NetHead: 2131 | Confirmed: 2130 | Missing: 2 | StateHash: 0xCAEA7EB4
[HEARTBEAT] SimTick: 2166 | NetHead: 2165 | Confirmed: 2162 | Missing: 4 | StateHash: 0xBB625F6D
[HEARTBEAT] SimTick: 2201 | NetHead: 2200 | Confirmed: 2197 | Missing: 4 | StateHash: 0x5FB967B1
[HEARTBEAT] SimTick: 2241 | NetHead: 2241 | Confirmed: 2236 | Missing: 5 | StateHash: 0x36F794F4
[HEARTBEAT] SimTick: 2274 | NetHead: 2273 | Confirmed: 2272 | Missing: 2 | StateHash: 0x36F794F4
[HEARTBEAT] SimTick: 2316 | NetHead: 2316 | Confirmed: 2311 | Missing: 5 | StateHash: 0x9D7E18FC
[HEARTBEAT] SimTick: 2359 | NetHead: 2358 | Confirmed: 2356 | Missing: 3 | StateHash: 0xC8B2A644
[HEARTBEAT] SimTick: 2394 | NetHead: 2394 | Confirmed: 2390 | Missing: 4 | StateHash: 0xC8B2A644
[HEARTBEAT] SimTick: 2433 | NetHead: 2432 | Confirmed: 2429 | Missing: 4 | StateHash: 0xCD40ABB4
[HEARTBEAT] SimTick: 2472 | NetHead: 2472 | Confirmed: 2468 | Missing: 4 | StateHash: 0xB420E00C
[HEARTBEAT] SimTick: 2508 | NetHead: 2508 | Confirmed: 2503 | Missing: 5 | StateHash: 0xB420E00C
[HEARTBEAT] SimTick: 2547 | NetHead: 2547 | Confirmed: 2546 | Missing: 1 | StateHash: 0x0202C19A
[HEARTBEAT] SimTick: 2590 | NetHead: 2589 | Confirmed: 2586 | Missing: 4 | StateHash: 0x824065CE
[HEARTBEAT] SimTick: 2633 | NetHead: 2632 | Confirmed: 2628 | Missing: 5 | StateHash: 0xA3E71604
[HEARTBEAT] SimTick: 2669 | NetHead: 2669 | Confirmed: 2664 | Missing: 5 | StateHash: 0x167DE4BA
[HEARTBEAT] SimTick: 2701 | NetHead: 2701 | Confirmed: 2696 | Missing: 5 | StateHash: 0x1809E89E
[HEARTBEAT] SimTick: 2741 | NetHead: 2740 | Confirmed: 2738 | Missing: 3 | StateHash: 0xC400F144
[HEARTBEAT] SimTick: 2782 | NetHead: 2782 | Confirmed: 2778 | Missing: 4 | StateHash: 0x9489ABB1
[HEARTBEAT] SimTick: 2826 | NetHead: 2825 | Confirmed: 2821 | Missing: 5 | StateHash: 0xB7EEA3E6
[HEARTBEAT] SimTick: 2862 | NetHead: 2862 | Confirmed: 2857 | Missing: 5 | StateHash: 0x8A388474
[HEARTBEAT] SimTick: 2902 | NetHead: 2901 | Confirmed: 2899 | Missing: 3 | StateHash: 0x178D2FAA
[HEARTBEAT] SimTick: 2935 | NetHead: 2934 | Confirmed: 2930 | Missing: 5 | StateHash: 0x0FFAB1E9
[HEARTBEAT] SimTick: 2976 | NetHead: 2975 | Confirmed: 2973 | Missing: 3 | StateHash: 0x56BD6354
[HEARTBEAT] SimTick: 3015 | NetHead: 3014 | Confirmed: 3011 | Missing: 4 | StateHash: 0xE172C759
[HEARTBEAT] SimTick: 3058 | NetHead: 3057 | Confirmed: 3054 | Missing: 4 | StateHash: 0x69D39461
[HEARTBEAT] SimTick: 3093 | NetHead: 3092 | Confirmed: 3090 | Missing: 3 | StateHash: 0x932B549C
[HEARTBEAT] SimTick: 3136 | NetHead: 3135 | Confirmed: 3131 | Missing: 5 | StateHash: 0x83D6C3E9
[HEARTBEAT] SimTick: 3172 | NetHead: 3171 | Confirmed: 3170 | Missing: 2 | StateHash: 0xD3F4F361
[HEARTBEAT] SimTick: 3205 | NetHead: 3205 | Confirmed: 3204 | Missing: 1 | StateHash: 0x8CE6DC74
[HEARTBEAT] SimTick: 3246 | NetHead: 3246 | Confirmed: 3241 | Missing: 5 | StateHash: 0xFB97128D
[HEARTBEAT] SimTick: 3286 | NetHead: 3285 | Confirmed: 3283 | Missing: 3 | StateHash: 0xA01FF8D9
[HEARTBEAT] SimTick: 3322 | NetHead: 3322 | Confirmed: 3321 | Missing: 1 | StateHash: 0xFDFB373C
[HEARTBEAT] SimTick: 3366 | NetHead: 3365 | Confirmed: 3361 | Missing: 5 | StateHash: 0x07A270D5
[HEARTBEAT] SimTick: 3402 | NetHead: 3402 | Confirmed: 3397 | Missing: 5 | StateHash: 0x6BBCFAD9
[HEARTBEAT] SimTick: 3438 | NetHead: 3438 | Confirmed: 3433 | Missing: 5 | StateHash: 0x771082D4
[HEARTBEAT] SimTick: 3471 | NetHead: 3470 | Confirmed: 3469 | Missing: 2 | StateHash: 0x771082D4
[HEARTBEAT] SimTick: 3511 | NetHead: 3511 | Confirmed: 3507 | Missing: 4 | StateHash: 0x320DCBEC
[HEARTBEAT] SimTick: 3551 | NetHead: 3551 | Confirmed: 3546 | Missing: 5 | StateHash: 0xC286EFA4
