========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 2 bound to :50002. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 23 | NetHead: 23 | Confirmed: 18 | Missing: 5 | StateHash: 0x9635CF92
[HEARTBEAT] SimTick: 64 | NetHead: 63 | Confirmed: 60 | Missing: 4 | StateHash: 0xBDE0D49E
[HEARTBEAT] SimTick: 102 | NetHead: 101 | Confirmed: 99 | Missing: 3 | StateHash: 0xB2D13734
[HEARTBEAT] SimTick: 141 | NetHead: 140 | Confirmed: 137 | Missing: 4 | StateHash: 0x603613C2
[HEARTBEAT] SimTick: 177 | NetHead: 177 | Confirmed: 172 | Missing: 5 | StateHash: 0xE35FCE91
[HEARTBEAT] SimTick: 213 | NetHead: 212 | Confirmed: 210 | Missing: 3 | StateHash: 0x147DB574
[HEARTBEAT] SimTick: 247 | NetHead: 247 | Confirmed: 243 | Missing: 4 | StateHash: 0xE3F23C5D
[HEARTBEAT] SimTick: 281 | NetHead: 281 | Confirmed: 277 | Missing: 4 | StateHash: 0x6A00C209
[HEARTBEAT] SimTick: 319 | NetHead: 318 | Confirmed: 315 | Missing: 4 | StateHash: 0x5C60F51C
[HEARTBEAT] SimTick: 357 | NetHead: 356 | Confirmed: 352 | Missing: 5 | StateHash: 0x5C60F51C
[HEARTBEAT] SimTick: 397 | NetHead: 396 | Confirmed: 392 | Missing: 5 | StateHash: 0xC1E38154
[HEARTBEAT] SimTick: 433 | NetHead: 432 | Confirmed: 430 | Missing: 3 | StateHash: 0x3E95A8EC
[HEARTBEAT] SimTick: 473 | NetHead: 472 | Confirmed: 468 | Missing: 5 | StateHash: 0x3E95A8EC
[HEARTBEAT] SimTick: 514 | NetHead: 514 | Confirmed: 509 | Missing: 5 | StateHash: 0x6788CD1C
[HEARTBEAT] SimTick: 556 | NetHead: 556 | Confirmed: 551 | Missing: 5 | StateHash: 0xBA9C977C
[HEARTBEAT] SimTick: 590 | NetHead: 590 | Confirmed: 589 | Missing: 1 | StateHash: 0xBA9C977C
[HEARTBEAT] SimTick: 628 | NetHead: 627 | Confirmed: 624 | Missing: 4 | StateHash: 0xD9EF0542
[HEARTBEAT] SimTick: 663 | NetHead: 663 | Confirmed: 658 | Missing: 5 | StateHash: 0xF3B39F0E
[HEARTBEAT] SimTick: 699 | NetHead: 698 | Confirmed: 695 | Missing: 4 | StateHash: 0xF3A28384
[HEARTBEAT] SimTick: 733 | NetHead: 732 | Confirmed: 730 | Missing: 3 | StateHash: 0xB6942139
[HEARTBEAT] SimTick: 770 | NetHead: 770 | Confirmed: 765 | Missing: 5 | StateHash: 0x050EDE09
[HEARTBEAT] SimTick: 807 | NetHead: 807 | Confirmed: 804 | Missing: 3 | StateHash: 0x5F616E34
[HEARTBEAT] SimTick: 843 | NetHead: 842 | Confirmed: 840 | Missing: 3 | StateHash: 0x836B1A5D
