========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 5 bound to :50005. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 36 | NetHead: 35 | Confirmed: 31 | Missing: 5 | StateHash: 0xC881375C
[HEARTBEAT] SimTick: 73 | NetHead: 72 | Confirmed: 71 | Missing: 2 | StateHash: 0xB2D13734
[HEARTBEAT] SimTick: 115 | NetHead: 115 | Confirmed: 110 | Missing: 5 | StateHash: 0xB2D13734
[HEARTBEAT] SimTick: 152 | NetHead: 152 | Confirmed: 150 | Missing: 2 | StateHash: 0x33B8955C
[HEARTBEAT] SimTick: 188 | NetHead: 187 | Confirmed: 186 | Missing: 2 | StateHash: 0x1442872E
[HEARTBEAT] SimTick: 224 | NetHead: 223 | Confirmed: 219 | Missing: 5 | StateHash: 0x147DB574
[HEARTBEAT] SimTick: 258 | NetHead: 257 | Confirmed: 253 | Missing: 5 | StateHash: 0xBC065EC9
[HEARTBEAT] SimTick: 295 | NetHead: 294 | Confirmed: 290 | Missing: 5 | StateHash: 0x4A5DAF41
[HEARTBEAT] SimTick: 333 | NetHead: 332 | Confirmed: 328 | Missing: 5 | StateHash: 0x5C60F51C
[HEARTBEAT] SimTick: 369 | NetHead: 368 | Confirmed: 364 | Missing: 5 | StateHash: 0xECB6FE95
[HEARTBEAT] SimTick: 404 | NetHead: 403 | Confirmed: 402 | Missing: 2 | StateHash: 0xF3F08CD9
[HEARTBEAT] SimTick: 449 | NetHead: 448 | Confirmed: 444 | Missing: 5 | StateHash: 0x3E95A8EC
[HEARTBEAT] SimTick: 486 | NetHead: 485 | Confirmed: 482 | Missing: 4 | StateHash: 0xB062A405
[HEARTBEAT] SimTick: 528 | NetHead: 528 | Confirmed: 523 | Missing: 5 | StateHash: 0x5304E3E1
[HEARTBEAT] SimTick: 567 | NetHead: 567 | Confirmed: 562 | Missing: 5 | StateHash: 0xBA9C977C
[HEARTBEAT] SimTick: 602 | NetHead: 601 | Confirmed: 599 | Missing: 3 | StateHash: 0xBA9C977C
[HEARTBEAT] SimTick: 639 | NetHead: 638 | Confirmed: 636 | Missing: 3 | StateHash: 0x4738F984
[HEARTBEAT] SimTick: 674 | NetHead: 673 | Confirmed: 670 | Missing: 4 | StateHash: 0xF3A28384
[HEARTBEAT] SimTick: 711 | NetHead: 711 | Confirmed: 706 | Missing: 5 | StateHash: 0xF3A28384
[HEARTBEAT] SimTick: 745 | NetHead: 744 | Confirmed: 741 | Missing: 4 | StateHash: 0x4EF1812A
[HEARTBEAT] SimTick: 781 | NetHead: 780 | Confirmed: 778 | Missing: 3 | StateHash: 0x591D2D69
[HEARTBEAT] SimTick: 820 | NetHead: 820 | Confirmed: 817 | Missing: 3 | StateHash: 0x5F616E34
[HEARTBEAT] SimTick: 855 | NetHead: 854 | Confirmed: 851 | Missing: 4 | StateHash: 0x3C98FDC9
[HEARTBEAT] SimTick: 891 | NetHead: 890 | Confirmed: 886 | Missing: 5 | StateHash: 0x957BE4C1
[HEARTBEAT] SimTick: 928 | NetHead: 927 | Confirmed: 926 | Missing: 2 | StateHash: 0xA7143604
[HEARTBEAT] SimTick: 970 | NetHead: 969 | Confirmed: 965 | Missing: 5 | StateHash: 0x1E803AFD
[HEARTBEAT] SimTick: 1010 | NetHead: 1009 | Confirmed: 1008 | Missing: 2 | StateHash: 0x0F93B241
[HEARTBEAT] SimTick: 1054 | NetHead: 1053 | Confirmed: 1051 | Missing: 3 | StateHash: 0x9C3AD34C
[HEARTBEAT] SimTick: 1094 | NetHead: 1093 | Confirmed: 1092 | Missing: 2 | StateHash: 0x9ED83071
[HEARTBEAT] SimTick: 1135 | NetHead: 1134 | Confirmed: 1132 | Missing: 3 | StateHash: 0xB6BDAB49
[HEARTBEAT] SimTick: 1173 | NetHead: 1173 | Confirmed: 1171 | Missing: 2 | StateHash: 0xEC8C50DC
[HEARTBEAT] SimTick: 1212 | NetHead: 1212 | Confirmed: 1207 | Missing: 5 | StateHash: 0xCCA58DA9
[HEARTBEAT] SimTick: 1255 | NetHead: 1254 | Confirmed: 1252 | Missing: 3 | StateHash: 0xD1366649
[HEARTBEAT] SimTick: 1295 | NetHead: 1294 | Confirmed: 1292 | Missing: 3 | StateHash: 0xB8E1C05C
[HEARTBEAT] SimTick: 1334 | NetHead: 1333 | Confirmed: 1331 | Missing: 3 | StateHash: 0x97635AD9
[HEARTBEAT] SimTick: 1367 | NetHead: 1366 | Confirmed: 1362 | Missing: 5 | StateHash: 0x1D682C11
[HEARTBEAT] SimTick: 1401 | NetHead: 1401 | Confirmed: 1396 | Missing: 5 | StateHash: 0x19C558B4
[HEARTBEAT] SimTick: 1440 | NetHead: 1439 | Confirmed: 1438 | Missing: 2 | StateHash: 0x19C558B4
[HEARTBEAT] SimTick: 1478 | NetHead: 1477 | Confirmed: 1476 | Missing: 2 | StateHash: 0x0C43FE9C
[HEARTBEAT] SimTick: 1515 | NetHead: 1514 | Confirmed: 1512 | Missing: 3 | StateHash: 0xA1FEDCC4
[HEARTBEAT] SimTick: 1555 | NetHead: 1555 | Confirmed: 1550 | Missing: 5 | StateHash: 0xA1FEDCC4
[HEARTBEAT] SimTick: 1593 | NetHead: 1592 | Confirmed: 1588 | Missing: 5 | StateHash: 0x7C9DF0BA
[HEARTBEAT] SimTick: 1635 | NetHead: 1634 | Confirmed: 1630 | Missing: 5 | StateHash: 0x1F344D74
[HEARTBEAT] SimTick: 1674 | NetHead: 1674 | Confirmed: 1670 | Missing: 4 | StateHash: 0x1F344D74
[HEARTBEAT] SimTick: 1718 | NetHead: 1717 | Confirmed: 1715 | Missing: 3 | StateHash: 0xEF4A366C
[HEARTBEAT] SimTick: 1760 | NetHead: 1760 | Confirmed: 1755 | Missing: 5 | StateHash: 0x616674F4
[HEARTBEAT] SimTick: 1800 | NetHead: 1800 | Confirmed: 1795 | Missing: 5 | StateHash: 0x616674F4
[HEARTBEAT] SimTick: 1838 | NetHead: 1837 | Confirmed: 1834 | Missing: 4 | StateHash: 0xAC3B5EEC
[HEARTBEAT] SimTick: 1877 | NetHead: 1876 | Confirmed: 1872 | Missing: 5 | StateHash: 0x14AF141C
[HEARTBEAT] SimTick: 1918 | NetHead: 1917 | Confirmed: 1916 | Missing: 2 | StateHash: 0x14AF141C
[HEARTBEAT] SimTick: 1957 | NetHead: 1956 | Confirmed: 1955 | Missing: 2 | StateHash: 0x67D7419C
[HEARTBEAT] SimTick: 1997 | NetHead: 1997 | Confirmed: 1993 | Missing: 4 | StateHash: 0x5DF50244
[HEARTBEAT] SimTick: 2032 | NetHead: 2031 | Confirmed: 2027 | Missing: 5 | StateHash: 0x5DF50244
[HEARTBEAT] SimTick: 2067 | NetHead: 2067 | Confirmed: 2066 | Missing: 1 | StateHash: 0xD2CDDA12
[HEARTBEAT] SimTick: 2108 | NetHead: 2108 | Confirmed: 2107 | Missing: 1 | StateHash: 0xC24E642E
[HEARTBEAT] SimTick: 2148 | NetHead: 2147 | Confirmed: 2144 | Missing: 4 | StateHash: 0xCAEA7EB4
[HEARTBEAT] SimTick: 2179 | NetHead: 2178 | Confirmed: 2176 | Missing: 3 | StateHash: 0xC21DEC51
[HEARTBEAT] SimTick: 2217 | NetHead: 2216 | Confirmed: 2214 | Missing: 3 | StateHash: 0xBA5B9BD9
[HEARTBEAT] SimTick: 2255 | NetHead: 2255 | Confirmed: 2250 | Missing: 5 | StateHash: 0x36F794F4
[HEARTBEAT] SimTick: 2292 | NetHead: 2291 | Confirmed: 2290 | Missing: 2 | StateHash: 0x8476CDF1
[HEARTBEAT] SimTick: 2334 | NetHead: 2333 | Confirmed: 2331 | Missing: 3 | StateHash: 0x362C5C49
[HEARTBEAT] SimTick: 2375 | NetHead: 2375 | Confirmed: 2370 | Missing: 5 | StateHash: 0xC8B2A644
[HEARTBEAT] SimTick: 2410 | NetHead: 2409 | Confirmed: 2405 | Missing: 5 | StateHash: 0xD94624DD
[HEARTBEAT] SimTick: 2451 | NetHead: 2450 | Confirmed: 2446 | Missing: 5 | StateHash: 0xC06E6121
[HEARTBEAT] SimTick: 2487 | NetHead: 2487 | Confirmed: 2482 | Missing: 5 | StateHash: 0xB420E00C
[HEARTBEAT] SimTick: 2525 | NetHead: 2524 | Confirmed: 2521 | Missing: 4 | StateHash: 0xDB3F7215
[HEARTBEAT] SimTick: 2566 | NetHead: 2565 | Confirmed: 2562 | Missing: 4 | StateHash: 0x5C565DF1
[HEARTBEAT] SimTick: 2607 | NetHead: 2607 | Confirmed: 2603 | Missing: 4 | StateHash: 0xA3E71604
[HEARTBEAT] SimTick: 2642 | NetHead: 2642 | Confirmed: 2641 | Missing: 1 | StateHash: 0xAAF72E1D
[HEARTBEAT] SimTick: 2682 | NetHead: 2681 | Confirmed: 2677 | Missing: 5 | StateHash: 0xC0896EF9
[HEARTBEAT] SimTick: 2717 | NetHead: 2717 | Confirmed: 2712 | Missing: 5 | StateHash: 0xC400F144
[HEARTBEAT] SimTick: 2757 | NetHead: 2756 | Confirmed: 2754 | Missing: 3 | StateHash: 0xC400F144
[HEARTBEAT] SimTick: 2801 | NetHead: 2800 | Confirmed: 2797 | Missing: 4 | StateHash: 0xCF747084
[HEARTBEAT] SimTick: 2840 | NetHead: 2840 | Confirmed: 2839 | Missing: 1 | StateHash: 0x8A388474
[HEARTBEAT] SimTick: 2876 | NetHead: 2875 | Confirmed: 2874 | Missing: 2 | StateHash: 0x8A388474
[HEARTBEAT] SimTick: 2918 | NetHead: 2917 | Confirmed: 2915 | Missing: 3 | StateHash: 0xF821C024
[HEARTBEAT] SimTick: 2952 | NetHead: 2951 | Confirmed: 2950 | Missing: 2 | StateHash: 0x56BD6354
[HEARTBEAT] SimTick: 2991 | NetHead: 2991 | Confirmed: 2988 | Missing: 3 | StateHash: 0x56BD6354
[HEARTBEAT] SimTick: 3029 | NetHead: 3029 | Confirmed: 3027 | Missing: 2 | StateHash: 0xB7AE2DBA
[HEARTBEAT] SimTick: 3072 | NetHead: 3071 | Confirmed: 3068 | Missing: 4 | StateHash: 0x932B549C
[HEARTBEAT] SimTick: 3113 | NetHead: 3112 | Confirmed: 3110 | Missing: 3 | StateHash: 0x932B549C
[HEARTBEAT] SimTick: 3148 | NetHead: 3147 | Confirmed: 3143 | Missing: 5 | StateHash: 0x677C6E4A
[HEARTBEAT] SimTick: 3188 | NetHead: 3187 | Confirmed: 3183 | Missing: 5 | StateHash: 0x72E32F7E
[HEARTBEAT] SimTick: 3224 | NetHead: 3224 | Confirmed: 3219 | Missing: 5 | StateHash: 0x8CE6DC74
[HEARTBEAT] SimTick: 3261 | NetHead: 3261 | Confirmed: 3258 | Missing: 3 | StateHash: 0xDAF3A4B1
[HEARTBEAT] SimTick: 3302 | NetHead: 3302 | Confirmed: 3297 | Missing: 5 | StateHash: 0xFEDE14AE
[HEARTBEAT] SimTick: 3339 | NetHead: 3338 | Confirmed: 3336 | Missing: 3 | StateHash: 0xFDFB373C
[HEARTBEAT] SimTick: 3384 | NetHead: 3383 | Confirmed: 3379 | Missing: 5 | StateHash: 0xC6F7C532
[HEARTBEAT] SimTick: 3417 | NetHead: 3416 | Confirmed: 3414 | Missing: 3 | StateHash: 0x293CE989
[HEARTBEAT] SimTick: 3452 | NetHead: 3452 | Confirmed: 3447 | Missing: 5 | StateHash: 0x771082D4
[HEARTBEAT] SimTick: 3490 | NetHead: 3489 | Confirmed: 3485 | Missing: 5 | StateHash: 0x79A2814D
[HEARTBEAT] SimTick: 3525 | NetHead: 3525 | Confirmed: 3520 | Missing: 5 | StateHash: 0x652D3EE1
[HEARTBEAT] SimTick: 3567 | NetHead: 3566 | Confirmed: 3562 | Missing: 5 | StateHash: 0xC286EFA4
[HEARTBEAT] SimTick: 3603 | NetHead: 3603 | Confirmed: 3602 | Missing: 1 | StateHash: 0x329FFB7D
[HEARTBEAT] SimTick: 3641 | NetHead: 3641 | Confirmed: 3636 | Missing: 5 | StateHash: 0xBD3148EC
[HEARTBEAT] SimTick: 3686 | NetHead: 3685 | Confirmed: 3682 | Missing: 4 | StateHash: 0x6CBD9544
[HEARTBEAT] SimTick: 3726 | NetHead: 3725 | Confirmed: 3723 | Missing: 3 | StateHash: 0xE5848ACD
[HEARTBEAT] SimTick: 3771 | NetHead: 3770 | Confirmed: 3767 | Missing: 4 | StateHash: 0xA5FC61F1
[HEARTBEAT] SimTick: 3806 | NetHead: 3806 | Confirmed: 3803 | Missing: 3 | StateHash: 0x5C791A24
