========================================
 WEAVER ENGINE: 8-NODE DEEP HISTORY 
========================================
Enter Node ID (0-7): 
> [SYSTEM] Node 7 bound to :50007. Meshing topology...
[SYSTEM] Topology Locked. Entering FSM loop.
[HEARTBEAT] SimTick: 43 | NetHead: 43 | Confirmed: 38 | Missing: 5 | StateHash: 0x40B16D01
[HEARTBEAT] SimTick: 79 | NetHead: 78 | Confirmed: 77 | Missing: 2 | StateHash: 0xB2D13734
[HEARTBEAT] SimTick: 121 | NetHead: 121 | Confirmed: 119 | Missing: 2 | StateHash: 0xB2D13734
[HEARTBEAT] SimTick: 159 | NetHead: 159 | Confirmed: 154 | Missing: 5 | StateHash: 0x33B8955C
[HEARTBEAT] SimTick: 197 | NetHead: 196 | Confirmed: 193 | Missing: 4 | StateHash: 0x147DB574
[HEARTBEAT] SimTick: 230 | NetHead: 229 | Confirmed: 226 | Missing: 4 | StateHash: 0x147DB574
[HEARTBEAT] SimTick: 263 | NetHead: 263 | Confirmed: 258 | Missing: 5 | StateHash: 0x454FDC2A
[HEARTBEAT] SimTick: 300 | NetHead: 299 | Confirmed: 296 | Missing: 4 | StateHash: 0x4A5DAF41
[HEARTBEAT] SimTick: 340 | NetHead: 339 | Confirmed: 338 | Missing: 2 | StateHash: 0x5C60F51C
[HEARTBEAT] SimTick: 375 | NetHead: 374 | Confirmed: 373 | Missing: 2 | StateHash: 0x18841A51
[HEARTBEAT] SimTick: 414 | NetHead: 413 | Confirmed: 412 | Missing: 2 | StateHash: 0x4B8231A1
[HEARTBEAT] SimTick: 456 | NetHead: 456 | Confirmed: 451 | Missing: 5 | StateHash: 0x3E95A8EC
[HEARTBEAT] SimTick: 493 | NetHead: 492 | Confirmed: 490 | Missing: 3 | StateHash: 0x0C5EE091
[HEARTBEAT] SimTick: 537 | NetHead: 536 | Confirmed: 534 | Missing: 3 | StateHash: 0x9E146BF1
[HEARTBEAT] SimTick: 573 | NetHead: 573 | Confirmed: 569 | Missing: 4 | StateHash: 0xBA9C977C
[HEARTBEAT] SimTick: 610 | NetHead: 609 | Confirmed: 607 | Missing: 3 | StateHash: 0xA0648155
[HEARTBEAT] SimTick: 649 | NetHead: 649 | Confirmed: 646 | Missing: 3 | StateHash: 0xCFD29559
[HEARTBEAT] SimTick: 680 | NetHead: 679 | Confirmed: 676 | Missing: 4 | StateHash: 0xF3A28384
[HEARTBEAT] SimTick: 717 | NetHead: 716 | Confirmed: 715 | Missing: 2 | StateHash: 0xF3A28384
[HEARTBEAT] SimTick: 752 | NetHead: 751 | Confirmed: 748 | Missing: 4 | StateHash: 0x4EF1812A
[HEARTBEAT] SimTick: 790 | NetHead: 790 | Confirmed: 785 | Missing: 5 | StateHash: 0x9BDDA186
[HEARTBEAT] SimTick: 827 | NetHead: 827 | Confirmed: 822 | Missing: 5 | StateHash: 0x5F616E34
[HEARTBEAT] SimTick: 860 | NetHead: 859 | Confirmed: 855 | Missing: 5 | StateHash: 0x3C98FDC9
